file,property,level,seed,encoder,eff_rank,auc_logistic_knn
syn_eid-high_seed0.csv,eid,high,0,TabNet_native,2.9802913651074934,0.9876538884996496
syn_eid-high_seed0.csv,eid,high,0,TabNet_d4,2.3265089651722333,0.9584451005905316
syn_eid-high_seed1.csv,eid,high,1,TabNet_native,3.24975014090652,0.9877474293155544
syn_eid-high_seed1.csv,eid,high,1,TabNet_d4,2.742380020520488,0.9717777304364438
syn_eid-high_seed2.csv,eid,high,2,TabNet_native,2.182324083795513,0.9761020586964523
syn_eid-high_seed2.csv,eid,high,2,TabNet_d4,1.942682300656319,0.9648674409114912
syn_eid-high_seed3.csv,eid,high,3,TabNet_native,2.3541112580259296,0.990204755118878
syn_eid-high_seed3.csv,eid,high,3,TabNet_d4,2.0368835044492983,0.9878961974049351
syn_eid-high_seed4.csv,eid,high,4,TabNet_native,4.065888372380739,0.9833022430046761
syn_eid-high_seed4.csv,eid,high,4,TabNet_d4,3.2733400993322177,0.9806721512340277
syn_eid-low_seed0.csv,eid,low,0,TabNet_native,2.9802913651074934,0.9876538884996496
syn_eid-low_seed0.csv,eid,low,0,TabNet_d4,2.3265089651722333,0.9584451005905316
syn_eid-low_seed1.csv,eid,low,1,TabNet_native,3.24975014090652,0.9877474293155544
syn_eid-low_seed1.csv,eid,low,1,TabNet_d4,2.742380020520488,0.9717777304364438
syn_eid-low_seed2.csv,eid,low,2,TabNet_native,2.182324083795513,0.9761020586964523
syn_eid-low_seed2.csv,eid,low,2,TabNet_d4,1.942682300656319,0.9648674409114912
syn_eid-low_seed3.csv,eid,low,3,TabNet_native,2.3541112580259296,0.990204755118878
syn_eid-low_seed3.csv,eid,low,3,TabNet_d4,2.0368835044492983,0.9878961974049351
syn_eid-low_seed4.csv,eid,low,4,TabNet_native,4.065888372380739,0.9833022430046761
syn_eid-low_seed4.csv,eid,low,4,TabNet_d4,3.2733400993322177,0.9806721512340277
syn_eid-mid_seed0.csv,eid,mid,0,TabNet_native,2.9802913651074934,0.9876538884996496
syn_eid-mid_seed0.csv,eid,mid,0,TabNet_d4,2.3265089651722333,0.9584451005905316
syn_eid-mid_seed1.csv,eid,mid,1,TabNet_native,3.24975014090652,0.9877474293155544
syn_eid-mid_seed1.csv,eid,mid,1,TabNet_d4,2.742380020520488,0.9717777304364438
syn_eid-mid_seed2.csv,eid,mid,2,TabNet_native,2.182324083795513,0.9761020586964523
syn_eid-mid_seed2.csv,eid,mid,2,TabNet_d4,1.942682300656319,0.9648674409114912
syn_eid-mid_seed3.csv,eid,mid,3,TabNet_native,2.3541112580259296,0.990204755118878
syn_eid-mid_seed3.csv,eid,mid,3,TabNet_d4,2.0368835044492983,0.9878961974049351
syn_eid-mid_seed4.csv,eid,mid,4,TabNet_native,4.065888372380739,0.9833022430046761
syn_eid-mid_seed4.csv,eid,mid,4,TabNet_d4,3.2733400993322177,0.9806721512340277
syn_missing-high_seed0.csv,missing,high,0,TabNet_native,1.8489441871061296,0.6829873219730798
syn_missing-high_seed0.csv,missing,high,0,TabNet_d4,1.4909450994589368,0.6640222858051502
syn_missing-high_seed1.csv,missing,high,1,TabNet_native,1.8869404881231597,0.6991235031020054
syn_missing-high_seed1.csv,missing,high,1,TabNet_d4,1.646340936800645,0.6872800742236972
syn_missing-high_seed2.csv,missing,high,2,TabNet_native,2.876935959248471,0.6469423389618513
syn_missing-high_seed2.csv,missing,high,2,TabNet_d4,2.482915601683572,0.6271339587242026
syn_missing-high_seed3.csv,missing,high,3,TabNet_native,2.147678734764292,0.7391088182834002
syn_missing-high_seed3.csv,missing,high,3,TabNet_d4,1.9262916385129925,0.7138677062419533
syn_missing-high_seed4.csv,missing,high,4,TabNet_native,1.6471842933498366,0.6854602901566661
syn_missing-high_seed4.csv,missing,high,4,TabNet_d4,1.4901847392301084,0.6548923966443431
syn_missing-low_seed0.csv,missing,low,0,TabNet_native,1.8390538681002562,0.6123225038026863
syn_missing-low_seed0.csv,missing,low,0,TabNet_d4,1.5413611343360456,0.6024985224275989
syn_missing-low_seed1.csv,missing,low,1,TabNet_native,1.7678270398318539,0.600285374244649
syn_missing-low_seed1.csv,missing,low,1,TabNet_d4,1.7180427986707416,0.6023433519612348
syn_missing-low_seed2.csv,missing,low,2,TabNet_native,1.5406846597027681,0.706558493577723
syn_missing-low_seed2.csv,missing,low,2,TabNet_d4,1.4223860911744763,0.6952291227238496
syn_missing-low_seed3.csv,missing,low,3,TabNet_native,2.758335606588,0.6285265767226914
syn_missing-low_seed3.csv,missing,low,3,TabNet_d4,2.2172349852209696,0.6269892996303726
syn_missing-low_seed4.csv,missing,low,4,TabNet_native,3.3820463420915585,0.6813346663784408
syn_missing-low_seed4.csv,missing,low,4,TabNet_d4,2.727369336794774,0.6558947214616259
syn_missing-mid_seed0.csv,missing,mid,0,TabNet_native,2.3549436268177524,0.6395333371335196
syn_missing-mid_seed0.csv,missing,mid,0,TabNet_d4,2.287813439619175,0.6246006054296661
syn_missing-mid_seed1.csv,missing,mid,1,TabNet_native,3.4917203939551658,0.6978931241524695
syn_missing-mid_seed1.csv,missing,mid,1,TabNet_d4,2.6632426772341113,0.6759528343020349
syn_missing-mid_seed2.csv,missing,mid,2,TabNet_native,1.887548670831072,0.6519732867642057
syn_missing-mid_seed2.csv,missing,mid,2,TabNet_d4,1.8579121455255343,0.6498903785141888
syn_missing-mid_seed3.csv,missing,mid,3,TabNet_native,2.7887806511840183,0.6558845884588459
syn_missing-mid_seed3.csv,missing,mid,3,TabNet_d4,2.44214185120021,0.638962396239624
syn_missing-mid_seed4.csv,missing,mid,4,TabNet_native,2.04319218111492,0.6693186772747092
syn_missing-mid_seed4.csv,missing,mid,4,TabNet_d4,1.7565893912365607,0.651813607254429
syn_redundancy-high_seed0.csv,redundancy,high,0,TabNet_native,1.957958993084946,0.6794391794391795
syn_redundancy-high_seed0.csv,redundancy,high,0,TabNet_d4,1.856399641208118,0.6754351754351754
syn_redundancy-high_seed1.csv,redundancy,high,1,TabNet_native,3.3594001059369756,0.6822344790017535
syn_redundancy-high_seed1.csv,redundancy,high,1,TabNet_d4,2.7028880016796966,0.6785869855832636
syn_redundancy-high_seed2.csv,redundancy,high,2,TabNet_native,1.9840463525846925,0.7401338033522862
syn_redundancy-high_seed2.csv,redundancy,high,2,TabNet_d4,1.8291606494495396,0.738727347660642
syn_redundancy-high_seed3.csv,redundancy,high,3,TabNet_native,2.164168344370814,0.6450385422003074
syn_redundancy-high_seed3.csv,redundancy,high,3,TabNet_d4,1.8103524977318945,0.6388950035220288
syn_redundancy-high_seed4.csv,redundancy,high,4,TabNet_native,1.7085873711356456,0.6734503362584064
syn_redundancy-high_seed4.csv,redundancy,high,4,TabNet_d4,1.6140183780875466,0.6592379809495238
syn_redundancy-low_seed0.csv,redundancy,low,0,TabNet_native,2.961128439755624,0.6289015624249988
syn_redundancy-low_seed0.csv,redundancy,low,0,TabNet_d4,2.445137196703283,0.6217174474791598
syn_redundancy-low_seed1.csv,redundancy,low,1,TabNet_native,2.979475932028549,0.5707319171411538
syn_redundancy-low_seed1.csv,redundancy,low,1,TabNet_d4,2.405410524829416,0.5656667760354355
syn_redundancy-low_seed2.csv,redundancy,low,2,TabNet_native,1.2964225533804505,0.6792165344917109
syn_redundancy-low_seed2.csv,redundancy,low,2,TabNet_d4,1.1740513012862819,0.6584813902931194
syn_redundancy-low_seed3.csv,redundancy,low,3,TabNet_native,2.409986323030635,0.6491511879763396
syn_redundancy-low_seed3.csv,redundancy,low,3,TabNet_d4,2.0168136012213553,0.6435670432822534
syn_redundancy-low_seed4.csv,redundancy,low,4,TabNet_native,2.3321271105057924,0.6159487259502863
syn_redundancy-low_seed4.csv,redundancy,low,4,TabNet_d4,2.175591342132978,0.6207786726198334
syn_redundancy-mid_seed0.csv,redundancy,mid,0,TabNet_native,3.550109385530509,0.6508204295354633
syn_redundancy-mid_seed0.csv,redundancy,mid,0,TabNet_d4,2.7675441698776755,0.6447947126096539
syn_redundancy-mid_seed1.csv,redundancy,mid,1,TabNet_native,2.8116311556250695,0.6877534054487179
syn_redundancy-mid_seed1.csv,redundancy,mid,1,TabNet_d4,2.3742136328552803,0.6821574519230769
syn_redundancy-mid_seed2.csv,redundancy,mid,2,TabNet_native,3.075607053081464,0.7082532945945837
syn_redundancy-mid_seed2.csv,redundancy,mid,2,TabNet_d4,2.5924327599880805,0.7004695272511896
syn_redundancy-mid_seed3.csv,redundancy,mid,3,TabNet_native,3.7301960235864624,0.6697367380820618
syn_redundancy-mid_seed3.csv,redundancy,mid,3,TabNet_d4,2.8443567277647737,0.6633360719964854
syn_redundancy-mid_seed4.csv,redundancy,mid,4,TabNet_native,2.441612635616626,0.6515692892322308
syn_redundancy-mid_seed4.csv,redundancy,mid,4,TabNet_d4,2.1141597653398825,0.6484857121428036
syn_skew-high_seed0.csv,skew,high,0,TabNet_native,1.6419222665033752,0.7051411164304309
syn_skew-high_seed0.csv,skew,high,0,TabNet_d4,1.5800789225463743,0.6882057446653178
syn_skew-high_seed1.csv,skew,high,1,TabNet_native,3.3690299031685806,0.625363678154473
syn_skew-high_seed1.csv,skew,high,1,TabNet_d4,2.960856980568481,0.6254112505120288
syn_skew-high_seed2.csv,skew,high,2,TabNet_native,2.987092293211719,0.7468185744210881
