file,property,level,seed,encoder,n_test,k1,k2,trust_k1,trust_k2,cont_k1,cont_k2,eff_rank,hubness_k1,hubness_k2,auc_logistic_lin,auc_rule_lin,auc_logistic_knn,auc_rule_knn
syn_eid-high_seed0.csv,eid,high,0,TabNet_native,2000,44,88,0.942004044,0.922763667,0.932180696,0.919444152,2.980291365,-0.388390789,-0.401916779,0.988329497,0.970541475,0.987653888,0.963976575
syn_eid-high_seed0.csv,eid,high,0,TabNet_d4,2000,44,88,0.910486488,0.894776725,0.921809507,0.909515845,2.326508965,-0.721091646,-0.856705005,0.914320889,0.846493856,0.958445101,0.922050691
syn_eid-high_seed1.csv,eid,high,1,TabNet_native,2000,44,88,0.857746303,0.817360968,0.817203593,0.7839567,3.249750141,-0.398848502,-0.527664632,0.989906294,0.990916493,0.987747429,0.993015589
syn_eid-high_seed1.csv,eid,high,1,TabNet_d4,2000,44,88,0.829346475,0.798838378,0.814501217,0.781951415,2.742380021,-0.529074781,-0.71584242,0.914067477,0.948811439,0.97177773,0.987659617
syn_eid-high_seed2.csv,eid,high,2,TabNet_native,2000,44,88,0.916463361,0.902623059,0.93577415,0.924433531,2.182324084,-0.740615189,-0.344720608,0.961313429,0.921750784,0.976102059,0.950160755
syn_eid-high_seed2.csv,eid,high,2,TabNet_d4,2000,44,88,0.891528076,0.884273847,0.934637351,0.923493252,1.942682301,-0.792750514,-0.517872541,0.928761742,0.851511165,0.964867441,0.935114182
syn_eid-high_seed3.csv,eid,high,3,TabNet_native,2000,44,88,0.918336166,0.890122514,0.936981845,0.925390057,2.354111258,-0.659923461,-0.967954148,0.988276707,0.996289385,0.990204755,0.998089177
syn_eid-high_seed3.csv,eid,high,3,TabNet_d4,2000,44,88,0.868900974,0.857965328,0.93315781,0.922735685,2.036883504,-1.112059295,-1.088269213,0.984983625,0.977926139,0.987896197,0.992811579
syn_eid-high_seed4.csv,eid,high,4,TabNet_native,2000,44,88,0.939420269,0.925592409,0.93401839,0.918417071,4.065888372,-0.416101105,-0.275712197,0.979709435,0.975571693,0.983302243,0.97652711
syn_eid-high_seed4.csv,eid,high,4,TabNet_d4,2000,44,88,0.907104844,0.891093173,0.927278193,0.910777145,3.273340099,-0.544346827,-0.354514069,0.966795529,0.931945547,0.980672151,0.962919722
syn_eid-low_seed0.csv,eid,low,0,TabNet_native,2000,44,88,0.942004044,0.922763667,0.932180696,0.919444152,2.980291365,-0.388390789,-0.401916779,0.988329497,0.970541475,0.987653888,0.963976575
syn_eid-low_seed0.csv,eid,low,0,TabNet_d4,2000,44,88,0.910486488,0.894776725,0.921809507,0.909515845,2.326508965,-0.721091646,-0.856705005,0.914320889,0.846493856,0.958445101,0.922050691
syn_eid-low_seed1.csv,eid,low,1,TabNet_native,2000,44,88,0.857746303,0.817360968,0.817203593,0.7839567,3.249750141,-0.398848502,-0.527664632,0.989906294,0.990916493,0.987747429,0.993015589
syn_eid-low_seed1.csv,eid,low,1,TabNet_d4,2000,44,88,0.829346475,0.798838378,0.814501217,0.781951415,2.742380021,-0.529074781,-0.71584242,0.914067477,0.948811439,0.97177773,0.987659617
syn_eid-low_seed2.csv,eid,low,2,TabNet_native,2000,44,88,0.916463361,0.902623059,0.93577415,0.924433531,2.182324084,-0.740615189,-0.344720608,0.961313429,0.921750784,0.976102059,0.950160755
syn_eid-low_seed2.csv,eid,low,2,TabNet_d4,2000,44,88,0.891528076,0.884273847,0.934637351,0.923493252,1.942682301,-0.792750514,-0.517872541,0.928761742,0.851511165,0.964867441,0.935114182
syn_eid-low_seed3.csv,eid,low,3,TabNet_native,2000,44,88,0.918336166,0.890122514,0.936981845,0.925390057,2.354111258,-0.659923461,-0.967954148,0.988276707,0.996289385,0.990204755,0.998089177
syn_eid-low_seed3.csv,eid,low,3,TabNet_d4,2000,44,88,0.868900974,0.857965328,0.93315781,0.922735685,2.036883504,-1.112059295,-1.088269213,0.984983625,0.977926139,0.987896197,0.992811579
syn_eid-low_seed4.csv,eid,low,4,TabNet_native,2000,44,88,0.939420269,0.925592409,0.93401839,0.918417071,4.065888372,-0.416101105,-0.275712197,0.979709435,0.975571693,0.983302243,0.97652711
syn_eid-low_seed4.csv,eid,low,4,TabNet_d4,2000,44,88,0.907104844,0.891093173,0.927278193,0.910777145,3.273340099,-0.544346827,-0.354514069,0.966795529,0.931945547,0.980672151,0.962919722
